status,title,keyword,harm,location,internal_links,notes,pr_url
queued,Amarillo Data Centers and the Ogallala Aquifer: What Potter County Landowners Should Know,amarillo data center water,water,amarillo,"/damage/water, /articles/rule-of-capture-explained",Lead with the Ogallala Aquifer and Panhandle irrigation economy. Do not repeat generic gallon stats.,
queued,Odessa's Data Center Water Problem in the Permian Basin,odessa data center water,water,odessa,"/damage/water, /articles/data-center-subsidence-texas-land",Arid West Texas; competition with oil-field water use. Subsidence angle.,
queued,"San Marcos, the Edwards Aquifer, and Data Center Pumping",san marcos data center water,water,san-marcos,"/damage/water, /articles/how-to-protest-data-center-water-permit-texas",Edwards Aquifer + spring flow / endangered species. Unique hydrology.,
queued,How to Protest a Data Center's Air Permit with the TCEQ,tceq air permit data center protest,air,,"/damage/air, /articles/data-center-air-pollution-texas-guide, /articles/how-to-protest-data-center-water-permit-texas",Mirror the water-permit how-to but for AIR. High intent. Fills the air gap.,
queued,Sulphur Springs Data Centers vs. Dairy Country: A Hopkins County Water Fight,sulphur springs data center,water,sulphur-springs,"/damage/water, /articles/rule-of-capture-explained",Agricultural/dairy water competition framing.,
queued,What Evidence to Preserve If a Data Center Is Harming Your Property,document data center damage,property,,"/your-rights, /articles/proving-property-value-loss-data-center, /articles/data-center-water-contamination-testing-texas",Process/legal connective piece. General info not legal advice. No geo overlap.,
queued,Data Centers in the Rio Grande Valley: What Harlingen and Cameron County Should Know,harlingen data center,water,harlingen,/damage/water,RGV water scarcity + border-region growth.,
queued,"Corpus Christi, Desalination, and the Data Center Water Question",corpus christi data center water,water,corpus-christi,/damage/water,Coastal/industrial + desalination angle (unique to the coast).,
queued,Diesel Generators and Your Health: What Data Center Air Pollution Does to Neighbors,data center diesel generator health,air,,"/damage/air, /articles/midlothian-diesel-generators-air",Health-effects deep dive. Complement the Midlothian diesel piece without repeating it.,
queued,Temple and the Central Texas Data Center Rush: A Bell County Landowner Guide,temple data center,property,temple,"/damage/property, /articles/proving-property-value-loss-data-center",Central Texas growth-corridor framing.,
queued,Selling a Home Next to a Data Center in Texas: What to Expect,selling house near data center,property,,"/articles/proving-property-value-loss-data-center, /damage/property",Buyer-disclosure + market angle. Distinct from litigation value-loss and tax protest.,
queued,Which Groundwater Conservation District Governs My Land? A Texas Lookup Guide,texas groundwater conservation district lookup,water,,"/articles/how-to-protest-data-center-water-permit-texas, /articles/rule-of-capture-explained",Practical how-to that feeds every geo water article.,
